LOTID,CREATIONDATE,MODIFICATIONDATE,MISCOTHERCOST,FEEDCOST,PROCESSINGCOST,VETCOST,RAILERWT,RAILERHEADCOUNT,RAILERSALES,CATTLECOST,TOTALPAYWTIN,TOTALOFFTRUCKWT,SEXTYPELOT,HEADINLOT,FEEDYARDPHONE,STARTPERIOD,ENDPERIOD
S229206,09/05/2022,13/07/2023,4432.86,216599.48,3801.97,327.92,2280,2,2679.36,95236.93,54330,53180,HF,150,509-547-8864,09/05/2022,00:00.0
S216038,25/02/2021,07/04/2022,53.73,126029.84,2189.68,628.17,850,1,676.17,0.01,145280,145280,HF,199,509-547-8864,25/02/2021,00:00.0
S216039,25/02/2021,27/07/2021,53.46,104678.01,1643.47,48.77,990,1,964.67,0.01,177170,177170,HF,198,509-547-8864,25/02/2021,00:00.0
S209051,08/09/2020,19/11/2021,4377.46,343653.01,6212.93,1842.44,5410,8,2904.05,145932.81,108249,105380,X,309,509-547-8864,08/09/2020,00:00.0
S229819,23/02/2022,18/07/2023,7244.44,366421.42,5082.35,1260.11,4080,4,3037.22,130506.2,76734,76700,ST,208,509-547-8864,23/02/2022,00:00.0
S226019,28/02/2022,09/02/2023,3434.21,374897.56,7764.23,581.6,840,1,778.4,504007.96,321856,311610,HF,465,509-547-8864,28/02/2022,00:00.0
S229603,28/02/2022,12/06/2023,4109.93,212966.35,3947.52,535.07,940,1,792.7,106720.11,65515,64670,NULL,145,509-547-8864,28/02/2022,00:00.0
S218044,03/03/2021,08/09/2021,0,157096.97,320.48,668.37,640,1,135,0.01,227290,227290,ST,247,509-547-8864,03/03/2021,00:00.0
S216065,09/03/2021,08/09/2021,0,45977.11,512.28,161.82,2090,2,496.07,0.01,72100,72100,HF,81,509-547-8864,09/03/2021,00:00.0
S229820,28/02/2022,12/06/2023,6832.12,340344.04,4938.46,1499.13,10160,9,10088.01,126203.58,74320,72460,ST,200,509-547-8864,28/02/2022,00:00.0
S229116,18/03/2022,19/07/2023,7313.29,333751.58,4656.96,912.41,1980,2,1376.1,115696.43,81405,81110,X,200,509-547-8864,18/03/2022,00:00.0
S229111,10/02/2022,13/06/2023,6083.01,252094.57,3143.21,1007.47,4680,4,3951.16,81302.45,55345,54120,X,145,509-547-8864,10/02/2022,00:00.0
S229609,27/04/2022,12/06/2023,3529.69,146383.14,2445.55,901.72,1020,1,866.59,62880.66,39250,37530,HF,97,509-547-8864,27/04/2022,00:00.0
S229118,07/04/2022,12/06/2023,6195.56,289586.65,4013.63,870.6,5270,5,3883.29,103400.73,69340,67600,X,179,509-547-8864,07/04/2022,00:00.0
S218050,11/03/2021,08/09/2021,0,103209.38,247.82,146.59,900,1,183,0.01,187620,187620,ST,191,509-547-8864,11/03/2021,00:00.0
S226060,19/04/2022,12/12/2022,866.34,204138.25,2865.07,1446.5,1580,2,1067.25,0.02,145824,139550,HF,204,509-547-8864,19/04/2022,00:00.0
S228018,18/02/2022,12/12/2022,1802.56,232378.85,1638.33,2228.97,3040,3,1063.72,236036.2,149390,148790,NS,213,509-547-8864,18/02/2022,00:00.0
S229108,20/01/2022,18/01/2023,3539.52,311846.78,2477.99,379.76,3590,4,2629.57,168921.21,159113,157580,X,226,509-547-8864,20/01/2022,00:00.0
S227003,25/01/2022,10/10/2022,3252.61,248320.68,13146.64,312.59,730,1,264.25,295270.4,202240,202240,NULL,290,509-547-8864,25/01/2022,00:00.0
S228026,08/03/2022,10/10/2022,463.31,84040.9,827.37,98.31,920,1,918.6,125025,100020,100020,ST,107,509-547-8864,08/03/2022,00:00.0
S226033,15/03/2022,13/09/2022,249.86,54893.03,666.55,55.41,820,1,930.18,81387.5,65110,65110,HF,77,509-547-8864,15/03/2022,00:00.0
S227043,12/07/2022,14/03/2023,2348.45,125810.5,1446.89,701.9,1000,1,878.43,166575,111050,111050,NULL,146,509-547-8864,12/07/2022,00:00.0
S229824,18/05/2022,07/08/2023,3237.12,164865.59,2787.71,552.69,1850,2,1431.17,72192.51,42580,41240,ST,110,509-547-8864,18/05/2022,00:00.0
S229826,29/05/2022,07/08/2023,3199.38,155708.83,2755.72,615.16,1000,1,1140.02,71584.48,40375,39710,ST,110,509-547-8864,29/05/2022,00:00.0
S229822,18/04/2022,18/07/2023,5876.73,288308.7,4777.13,845.87,2849,4,4120.95,129193.2,76965,75150,ST,200,509-547-8864,18/04/2022,00:00.0
S229120,20/04/2022,12/06/2023,4249.85,213726.8,3223.51,1035.84,3700,4,3056.61,72285.75,53545,51350,X,144,509-547-8864,20/04/2022,00:00.0
S229121,03/05/2022,13/06/2023,6590.69,373632.47,2404.26,838.96,5470,5,3653.88,171100.01,150332,148270,X,240,509-547-8864,03/05/2022,00:00.0
S229612,01/06/2022,12/06/2023,6492.9,306401.59,2909.66,1173.52,740,1,620.86,163062.48,113935,111500,NULL,220,509-547-8864,01/06/2022,00:00.0
S227076,13/10/2022,19/07/2023,4263.48,150621.9,4407.56,2207.81,3780,5,2113.82,0.01,123280,123280,NULL,163,509-547-8864,13/10/2022,00:00.0
S226186,21/09/2022,12/06/2023,4821.47,156121.62,1002.13,541.58,2130,2,1572.05,227948,162820,162820,NM,180,509-547-8864,21/09/2022,00:00.0
S229124,25/05/2022,12/06/2023,7131.22,395367.18,2431.05,966.9,3046,3,3619.66,168417.05,155291,152130,X,240,509-547-8864,25/05/2022,00:00.0
S229127,06/07/2022,12/06/2023,5204.57,258831.68,1771.46,832.45,2560,3,1224.2,145771.81,124803,122200,X,176,509-547-8864,06/07/2022,00:00.0
S229129,12/07/2022,12/06/2023,5472.03,117588.29,808.97,373.63,1100,1,929.21,52830.06,52440,48600,X,73,509-547-8864,12/07/2022,00:00.0
S226092,12/06/2022,09/02/2023,1605.61,150809.64,2098.29,375.86,900,1,953.54,216409.6,145345,137942,HF,175,509-547-8864,12/06/2022,00:00.0
S229827,05/06/2022,13/07/2023,5492.34,250174.36,4651.5,843.12,3640,4,2526.82,126314.71,74453,72360,ST,185,509-547-8864,05/06/2022,00:00.0
S227032,08/06/2022,06/02/2023,1475.98,116376.02,4973.52,280.89,830,1,726.74,0.02,90790,90790,NULL,118,509-547-8864,08/06/2022,00:00.0
S229208,10/06/2022,07/08/2023,5063.14,232528.93,4329.36,1042.86,18724,18,20688.97,119181.08,67478,65442,HF,174,509-547-8864,10/06/2022,00:00.0
S229210,30/06/2022,06/11/2023,5543.05,280362.28,4717.83,1474.15,5030,6,4451.68,129848.1,71417,69427,HF,190,509-547-8864,30/06/2022,00:00.0
S226103,10/07/2022,14/03/2023,3657.2,189984.14,1995.2,1405.56,2680,3,1888.57,0,137894,137894,HF,183,509-547-8864,10/07/2022,00:00.0
S228050,02/05/2022,09/11/2022,471.96,170105.89,2164.2,270.59,1120,1,1125.14,292667.2,176296,171102,ST,214,509-547-8864,02/05/2022,00:00.0
S228051,02/05/2022,13/12/2022,58.59,152520.74,1985.82,500.5,1780,2,1230.9,257317.36,148222,143855,ST,201,509-547-8864,02/05/2022,00:00.0
S226045,05/04/2022,13/12/2022,420.87,239479.2,2943.43,636.71,660,1,224,301383.33,204466,208420,HF,245,509-547-8864,05/04/2022,00:00.0
S228047,12/04/2022,12/10/2022,561.75,173450.21,2349.68,328.96,1180,1,1307.58,327748.95,208744,208070,ST,231,509-547-8864,12/04/2022,00:00.0
S226059,17/04/2022,12/12/2022,376.19,164179.94,1722.47,246.54,870,1,362,210500.85,133415,127522,HF,175,509-547-8864,17/04/2022,00:00.0
S228048,22/04/2022,12/12/2022,622.46,250188.39,2504.62,278.03,1250,1,1184.07,337433.65,216082,208470,ST,250,509-547-8864,22/04/2022,00:00.0
S226065,26/04/2022,13/12/2022,1232.62,242951.62,3010.51,1334.78,1600,2,1168.59,298706.33,208361,195860,HF,250,509-547-8864,26/04/2022,00:00.0
S228049,26/04/2022,13/12/2022,781.33,214330.71,2491.41,2574.92,2070,2,2042.4,308287.97,209321,198430,ST,248,509-547-8864,26/04/2022,00:00.0
S228058,10/05/2022,13/12/2022,767.87,184269.65,1988.88,407.18,950,1,1042.71,265757.39,174290,174960,ST,196,509-547-8864,10/05/2022,00:00.0
S226047,11/04/2022,09/11/2022,63.99,68220.01,884.87,78.03,670,1,255.5,101312.97,64044,61460,HF,74,509-547-8864,11/04/2022,00:00.0
S229132,15/07/2022,08/09/2023,3194.64,159799.2,1239.27,567.6,4200,4,4796.22,75162.57,50900,49700,X,110,509-547-8864,15/07/2022,00:00.0
S229830,03/07/2022,08/09/2023,4160.84,184088.35,3593.34,762.61,14202,13,16230.88,100591.67,55826,54420,ST,145,509-547-8864,03/07/2022,00:00.0
S229823,10/05/2022,13/07/2023,4279.94,217828.16,3744.93,747.44,3060,3,1832.59,97839.86,57230,56290,ST,150,509-547-8864,10/05/2022,00:00.0
S229828,10/06/2022,08/09/2023,4279.33,205663.3,3639.61,687.9,7101,7,7024.33,100312.55,58012,56820,ST,145,509-547-8864,10/06/2022,00:00.0
S229829,24/06/2022,08/09/2023,5460.25,278636.14,4620.66,972.37,3530,3,3613.43,128654,73654,71790,ST,185,509-547-8864,24/06/2022,00:00.0
S228055,08/05/2022,13/12/2022,503.85,93679.21,1057.8,46.15,1160,1,1304.65,144065.18,92401,91630,ST,106,509-547-8864,08/05/2022,00:00.0
S228061,16/05/2022,12/12/2022,841.71,143892.27,1576.3,1672.3,930,1,864.58,220560.1,142086,133700,ST,159,509-547-8864,16/05/2022,00:00.0
S226078,22/05/2022,16/03/2023,2655.05,216531.38,2564.48,1817.83,1830,2,1072.7,260285.43,180804,169190,HF,217,509-547-8864,22/05/2022,00:00.0
S226090,12/06/2022,09/01/2023,1656.76,153610.02,2094.13,543.39,920,1,862.3,224430.61,154751,146870,HF,175,509-547-8864,12/06/2022,00:00.0
S226073,16/05/2022,12/12/2022,1257.07,204259.68,2629.68,51.6,1110,1,1066.89,287589.41,191420,172760,HF,222,509-547-8864,16/05/2022,00:00.0
S227027,16/05/2022,04/11/2022,107.36,114912.06,7178.61,870.81,2430,3,2271.09,0.01,125360,125360,NULL,150,509-547-8864,16/05/2022,00:00.0
S228065,22/05/2022,09/01/2023,986.39,85416.71,905.94,744.28,760,1,116.53,110708.49,74501,70690,ST,92,509-547-8864,22/05/2022,00:00.0
S227029,26/05/2022,12/12/2022,184.89,99661.53,8106.41,1221.28,1530,2,1034.35,0.04,153430,153430,NULL,162,509-547-8864,26/05/2022,00:00.0
S226094,13/06/2022,14/03/2023,2263.93,166276.08,2045.2,440.44,920,1,830.31,219293.47,142668,136330,HF,168,509-547-8864,13/06/2022,00:00.0
S228069,23/06/2022,09/01/2023,2219.41,186887,1347.34,876.42,2270,2,2073.77,289454.48,192303,187210,ST,197,509-547-8864,23/06/2022,00:00.0
S228052,02/05/2022,12/12/2022,1260.45,207265.86,1981.66,556.87,3190,3,2990.15,255609.15,145490,141203,ST,201,509-547-8864,02/05/2022,00:00.0
S228039,31/03/2022,12/12/2022,424.72,247133.64,1119.31,623.07,1630,2,1571.56,0.01,245620,245620,NS,294,509-547-8864,31/03/2022,00:00.0
S228079,31/07/2022,14/03/2023,1740.86,90032.89,4913.98,398.25,820,1,749.25,0.01,94274,91560,ST,102,509-547-8864,31/07/2022,00:00.0
S228067,19/06/2022,08/03/2023,3162.21,208844.42,2135.64,668.24,1120,1,600.78,308216.08,183834,175670,ST,214,509-547-8864,19/06/2022,00:00.0
S226097,20/06/2022,09/01/2023,2004.27,148601.39,2050.23,187.38,980,1,735.98,233233.19,146254,136480,HF,171,509-547-8864,20/06/2022,00:00.0
S226100,26/06/2022,15/03/2023,1790.36,100196.55,1250.37,1205.52,2810,3,1902.29,143082.29,99163,90270,HF,118,509-547-8864,26/06/2022,00:00.0
S226101,26/06/2022,06/02/2023,2818.62,195482.32,1767.86,1328.46,830,1,614.67,279519.22,187748,178530,HF,200,509-547-8864,26/06/2022,00:00.0
S228070,27/06/2022,06/02/2023,1879.2,134501.5,1499.36,1663.02,820,1,744.88,220019.95,142833,132470,ST,150,509-547-8864,27/06/2022,00:00.0
S226118,20/07/2022,31/05/2023,6275.81,227015.9,3549.54,1513.54,5022,5,3846.09,289609.47,161151,151140,HF,236,509-547-8864,20/07/2022,00:00.0
S227039,03/07/2022,09/01/2023,854.05,56806.92,2956.78,451.79,2040,2,1872.92,0.01,61340,61340,NULL,66,509-547-8864,03/07/2022,00:00.0
S229133,22/07/2022,07/10/2023,3969.02,128404.99,2120.54,2318.46,3340,5,2620.5,51112.95,37191,36410,X,103,509-547-8864,22/07/2022,00:00.0
S227040,06/07/2022,09/01/2023,3046.55,185213.18,1991.03,663.12,940,1,1022.55,330915.54,217746,215400,NULL,230,509-547-8864,06/07/2022,00:00.0
S228075,18/07/2022,06/02/2023,1973.56,122603.87,923.3,462.87,1100,1,893.09,222728.89,136159,131490,ST,135,509-547-8864,18/07/2022,00:00.0
S226119,21/07/2022,06/02/2023,3002.36,161357.78,1924.29,613.52,820,1,659.06,254155.59,155219,149000,HF,177,509-547-8864,21/07/2022,00:00.0
S228080,31/07/2022,14/03/2023,2430.43,113748.16,926.32,871.26,1920,2,1508.22,186643.78,112845,108420,ST,123,509-547-8864,31/07/2022,00:00.0
S209803,29/09/2020,06/04/2021,675.06,20907.15,505.84,191.3,600,1,128,51214.82,42699,42820,ST,49,509-547-8864,29/09/2020,00:00.0
S209055,05/10/2020,30/09/2021,2416.9,176803.65,1772.15,1248.87,3950,4,2302.98,99708,94920,86210,X,168,509-547-8864,05/10/2020,00:00.0
S206230,08/10/2020,27/04/2021,1883.34,84151.29,1157.94,153.39,1350,1,220.5,159269.04,126455,119850,HF,131,509-547-8864,08/10/2020,00:00.0
S207104,26/10/2020,27/04/2021,945.08,37933.63,888.18,494.95,620,1,136,0.01,60030,60030,NULL,68,509-547-8864,26/10/2020,00:00.0
S208094,05/10/2020,27/04/2021,1041.59,45779.91,793.72,1038.64,660,1,70.5,86432.4,64024,63390,ST,73,509-547-8864,05/10/2020,00:00.0
S206234,12/10/2020,30/09/2021,1221.41,64909.94,1456.79,1415.82,530,1,178.75,72980.98,51005,48180,HF,87,509-547-8864,12/10/2020,00:00.0
S208096,12/10/2020,27/04/2021,942.93,40119.3,734.46,597.3,920,1,261.25,85088.08,64534,60830,ST,67,509-547-8864,12/10/2020,00:00.0
S208097,12/10/2020,27/04/2021,964.5,43754.13,2912.36,650.19,620,1,133,79468.42,58176,54340,ST,67,509-547-8864,12/10/2020,00:00.0
S206225,02/10/2020,27/04/2021,1778.21,84114.43,1594.14,957.15,810,1,208.75,140981.19,104230,96010,HF,124,509-547-8864,02/10/2020,00:00.0
S209057,12/10/2020,03/12/2021,4255.1,351994.9,4739.42,1408.88,2550,3,548.5,133160.45,112380,107290,X,293,509-547-8864,12/10/2020,00:00.0
S206233,12/10/2020,27/07/2021,1141.57,59425.06,1357.47,862.9,600,1,99.75,72377.22,49843,47330,HF,80,509-547-8864,12/10/2020,00:00.0
S206231,08/10/2020,01/07/2021,1345.17,57393.75,1025.66,1847.95,690,1,205,85023.08,62811,62470,NH,95,509-547-8864,08/10/2020,00:00.0
S209041,10/07/2020,30/07/2021,3088.56,222142.35,4942.86,899.98,1100,1,1011.58,114293.71,88720,86150,X,220,509-547-8864,10/07/2020,00:00.0
S207095,14/10/2020,21/04/2021,622.63,21251.97,883.2,540.66,680,1,120,48026.74,50337,48940,NULL,50,509-547-8864,14/10/2020,00:00.0
S207101,21/10/2020,03/06/2021,1010.93,44443.71,3013.59,882.47,1200,2,265,60844.73,48765,45160,ST,72,509-547-8864,21/10/2020,00:00.0
S206248,01/11/2020,03/06/2021,1492.46,73368.1,1244.21,555.27,700,1,105.75,126342.96,99061,93930,HF,108,509-547-8864,01/11/2020,00:00.0
S208106,04/11/2020,03/06/2021,749.81,28861.99,613.41,2256.37,1450,2,209.5,74495.62,54155,52690,NS,65,509-547-8864,04/11/2020,00:00.0
S226071,11/05/2022,06/02/2023,1352.55,97819.68,627.17,396.38,1980,2,1614.21,107162.5,85730,85730,NH,108,509-547-8864,11/05/2022,00:00.0
S217023,26/03/2021,27/10/2021,2685.2,69511.32,760.45,266.72,870,1,814.02,0.02,78221,76090,HF,94,509-547-8864,26/03/2021,00:00.0
S216061,09/03/2021,08/09/2021,0,140946.13,1367.69,304.07,830,1,821,0.01,202820,202820,HF,244,509-547-8864,09/03/2021,00:00.0
S209059,25/10/2020,03/12/2021,3257.14,271288.97,3766.37,325.89,880,1,706.88,94211.66,86191,83980,X,220,509-547-8864,25/10/2020,00:00.0
S206252,08/11/2020,03/06/2021,814.41,36960.7,2804.85,813.1,1400,2,357,65058.55,47490,44610,HF,63,509-547-8864,08/11/2020,00:00.0
S209061,09/11/2020,08/09/2021,2764.86,189418.15,2179.77,502.9,950,1,196,136562.24,153664,151340,X,210,509-547-8864,09/11/2020,00:00.0
S229212,14/07/2022,13/07/2023,3557.04,142222.34,1217.33,925.17,950,1,831.84,114567.89,83875,83240,HF,119,509-547-8864,14/07/2022,00:00.0
S229131,15/07/2022,13/07/2023,4164.44,206833.4,1551.01,807.09,4290,4,4452.48,94627.21,80115,77840,X,140,509-547-8864,15/07/2022,00:00.0
S226115,19/07/2022,14/03/2023,2424.49,115773.22,4069.55,1011.49,1360,2,466,0.01,94696,91610,HF,114,509-547-8864,19/07/2022,00:00.0
S229213,20/07/2022,08/09/2023,3195.24,149062.97,2730.15,2067.29,4930,5,5580.03,76902.12,42870,41440,HF,110,509-547-8864,20/07/2022,00:00.0
S229832,14/07/2022,13/06/2023,3568.24,152268.44,1244.83,788.44,1060,1,1216.1,130193.59,89566,88020,ST,123,509-547-8864,14/07/2022,00:00.0
S229130,15/07/2022,12/06/2023,4251.01,197482.98,1584.48,675.5,990,1,1114.87,96543.9,81711,79390,X,143,509-547-8864,15/07/2022,00:00.0
S209700,13/10/2020,30/09/2021,2314.46,178701.15,2580.43,2346.99,810,1,619.92,94039.07,74855,74410,NULL,163,509-547-8864,13/10/2020,00:00.0
S209058,13/10/2020,03/12/2021,3696.26,301429.27,3870.25,1357.78,2780,4,831.09,110688.04,99686,96110,X,257,509-547-8864,13/10/2020,00:00.0
S209060,09/11/2020,28/01/2022,3823.01,297982.76,4081,1003.18,5100,5,3043.72,115222.16,91565,89400,X,240,509-547-8864,09/11/2020,00:00.0
S207103,25/10/2020,03/06/2021,2400.4,109459.72,1745.24,709.56,710,1,196.25,149612.4,118740,118740,NULL,168,509-547-8864,25/10/2020,00:00.0
S228092,25/08/2022,13/06/2023,3579.49,143054.31,1050.82,588.3,1220,1,1451.24,179063.02,96582,86500,ST,120,509-547-8864,25/08/2022,00:00.0
S226141,25/08/2022,13/06/2023,4037.79,162393.57,1311.78,45.71,940,1,867.25,219444.52,128782,124520,HF,147,509-547-8864,25/08/2022,00:00.0
S228088,15/08/2022,13/06/2023,4095.31,176330.64,1128.48,252.3,4064,4,4245.49,261154.31,160637,157540,ST,165,509-547-8864,15/08/2022,00:00.0
S228090,22/08/2022,01/06/2023,3725.44,163095.06,1039.57,191.03,2947,3,3244.95,239747.09,147952,144801,ST,152,509-547-8864,22/08/2022,00:00.0
S228084,07/08/2022,14/03/2023,2212.57,118734.58,875.43,467.04,1990,2,1640.1,200846.3,120556,118090,ST,128,509-547-8864,07/08/2022,00:00.0
S226139,19/08/2022,10/04/2023,2833.24,126424.24,5303.59,109.43,760,1,128.14,183891.98,103450,96480,HF,119,509-547-8864,19/08/2022,00:00.0
S226145,29/08/2022,11/04/2023,2145.75,69852.34,824.86,61.22,680,1,211.5,99558.1,57199,55443,HF,77,509-547-8864,29/08/2022,00:00.0
S228078,29/07/2022,14/03/2023,3604.78,170903.58,1665.1,868.24,2050,2,1595.5,272348.61,163083,164730,ST,184,509-547-8864,29/07/2022,00:00.0
S226135,15/08/2022,14/03/2023,4322.24,198888.23,1841.58,493.26,900,1,143.48,294688.95,186041,180210,HF,204,509-547-8864,15/08/2022,00:00.0
S226136,15/08/2022,10/04/2023,1470.91,52274.11,617.28,628.22,670,1,42.94,76735.16,47709,46120,HF,57,509-547-8864,15/08/2022,00:00.0
S226148,29/08/2022,10/04/2023,4056.76,137361.95,1458.58,490,558,1,950.53,210285.7,128609,123681,HF,153,509-547-8864,29/08/2022,00:00.0
S226149,29/08/2022,14/03/2023,5306.32,207786.4,9878.07,185.67,890,1,796.47,332732.6,186220,173420,HF,203,509-547-8864,29/08/2022,00:00.0
S226142,29/08/2022,10/04/2023,4858.75,187018.2,2077.99,304.07,670,1,44.94,266559.44,160707,155772,HF,191,509-547-8864,29/08/2022,00:00.0
S226146,29/08/2022,10/04/2023,4400.95,166897.46,1408.43,127.07,1220,1,1259.08,277993.49,175072,168364,HF,193,509-547-8864,29/08/2022,00:00.0
S228095,02/09/2022,10/04/2023,4806.93,193210.94,1210.55,159.98,1190,1,877,315673.5,169761,162720,ST,177,509-547-8864,02/09/2022,00:00.0
S207099,19/10/2020,03/06/2021,934.57,37618.77,2800.87,1516.36,700,1,183.75,65465.02,46790,43180,HF,68,509-547-8864,19/10/2020,00:00.0
S228098,02/09/2022,10/04/2023,5262.4,212957.87,1231.07,87.22,940,1,652.36,313055.6,170391,164503,ST,180,509-547-8864,02/09/2022,00:00.0
S218173,22/11/2021,02/08/2022,4311.72,213006.85,16128.58,1913.81,3820,5,2390.4,267664.41,165730,161150,ST,245,509-547-8864,22/11/2021,00:00.0
S217114,30/11/2021,29/06/2022,1233,56495.31,3925.86,1033.54,1230,2,282.48,0.02,73380,73380,NULL,83,509-547-8864,30/11/2021,00:00.0
S226162,04/09/2022,11/07/2023,5780.56,220949.16,1959.95,588.63,2660,2,2904.61,0.01,154680,154680,HF,206,509-547-8864,04/09/2022,00:00.0
S226164,04/09/2022,10/04/2023,4675.94,169373.81,2026.73,415.25,691,1,1183.22,273034.13,158750,150540,HF,183,509-547-8864,04/09/2022,00:00.0
S216407,22/11/2021,29/06/2022,1393.45,67716.29,968.04,303.65,1700,2,1616.81,97332.93,64010,60420,HF,76,509-547-8864,22/11/2021,00:00.0
S216409,22/11/2021,29/06/2022,1457.82,69312.03,983.6,9.09,600,1,130,88864.73,57637,54770,HF,78,509-547-8864,22/11/2021,00:00.0
S218188,11/12/2021,29/06/2022,2261.58,111849.79,5922.01,93.03,880,1,901.82,150434.87,96370,92610,ST,133,509-547-8864,11/12/2021,00:00.0
S218191,15/12/2021,29/06/2022,1458.54,72999.32,1248.3,480.73,710,1,296,93486.89,62701,59954,ST,85,509-547-8864,15/12/2021,00:00.0
S226243,21/12/2022,07/10/2023,1358.75,90732.61,2254.69,228.35,690,1,192.45,88566.48,47642,44400,HF,80,509-547-8864,21/12/2022,00:00.0
S238000,12/01/2023,11/09/2023,3154.45,214437.76,2144.02,193.77,1340,1,1494.13,452403.61,248422,243450,ST,238,509-547-8864,12/01/2023,00:00.0
S238001,18/01/2023,08/09/2023,1577.53,114749.53,1540.96,240.28,1321,2,1707.87,234022.34,126178,121950,ST,129,509-547-8864,18/01/2023,00:00.0
S238017,10/02/2023,07/10/2023,1265.09,171042.29,3968.29,332.21,980,1,0,243422.07,127200,119370,ST,164,509-547-8864,10/02/2023,00:00.0
S218181,04/12/2021,02/08/2022,2960.14,144999.9,7803.84,1982.49,2645,3,2653.16,220047.81,132770,126520,ST,186,509-547-8864,04/12/2021,00:00.0
S217126,08/12/2021,29/06/2022,1774.27,80287.3,6781.58,1201.73,1820,3,905.51,124634,86660,84790,NULL,114,509-547-8864,08/12/2021,00:00.0
S229833,24/07/2022,08/09/2023,3273.63,155143.28,2750.44,422.48,2710,3,1340.14,76377.76,42915,41740,ST,110,509-547-8864,24/07/2022,00:00.0
S229614,27/07/2022,27/10/2023,3338.15,124057.18,1144.62,420.33,5320,5,5190.27,112830.92,77244,75740,NULL,111,509-547-8864,27/07/2022,00:00.0
S219813,22/11/2021,15/03/2023,5216.6,270996.66,5127.18,1458.9,790,1,752.92,115888.43,73100,72040,ST,200,509-547-8864,22/11/2021,00:00.0
S226147,29/08/2022,13/06/2023,4209.19,139701.26,1459.35,127.91,667,1,1141.68,209481.14,127781,122885,HF,153,509-547-8864,29/08/2022,00:00.0
S228097,02/09/2022,01/06/2023,7460.99,301435.77,1956.03,430.28,3302,4,2540.56,494416.63,269100,259801,ST,286,509-547-8864,02/09/2022,00:00.0
S238002,18/01/2023,13/11/2023,3413.2,254894.4,2630,746.07,3470,3,2918.1,435176.09,242519,243660,ST,280,509-547-8864,18/01/2023,00:00.0
S226152,30/08/2022,13/06/2023,6618,236310.37,2568.29,474.91,1920,2,1975.36,334747.79,190479,177090,HF,239,509-547-8864,30/08/2022,00:00.0
S227048,07/08/2022,08/05/2023,3263.29,131488.9,5019.57,556.03,970,1,854.36,0.02,90510,90510,NULL,116,509-547-8864,07/08/2022,00:00.0
S216402,21/11/2021,10/10/2022,2037.07,80160.68,1886.5,2054,1180,3,170.62,63789.96,40891,40360,HF,95,509-547-8864,21/11/2021,00:00.0
S227112,30/12/2022,07/08/2023,1818.73,114519.17,2868.6,282.85,560,1,134.11,174535.77,114241,113340,NULL,119,509-547-8864,30/12/2022,00:00.0
S238004,22/01/2023,07/10/2023,1851.68,184277.28,1486.16,465.4,1270,1,1157.03,246678.82,129126,126850,ST,158,509-547-8864,22/01/2023,00:00.0
S238009,25/01/2023,08/09/2023,2266.87,180803.06,2593.29,376.7,1840,2,1328.27,304155.89,155142,153620,ST,201,509-547-8864,25/01/2023,00:00.0
S238014,08/02/2023,08/09/2023,1181.58,130205.38,1434.04,164.72,950,1,986.28,234617.49,124936,119840,ST,141,509-547-8864,08/02/2023,00:00.0
S236007,08/02/2023,08/09/2023,1114.54,107517.7,1793.93,404.86,900,1,136.69,213351.72,120765,116590,HF,133,509-547-8864,08/02/2023,00:00.0
S238016,10/02/2023,07/10/2023,1087.67,146570.83,3593.31,138.51,1300,1,1575.17,232842.68,121150,115070,ST,142,509-547-8864,10/02/2023,00:00.0
S238019,12/02/2023,08/09/2023,1281.15,149670.96,1989.27,217.27,2390,2,2995.76,289402.91,151974,149080,ST,167,509-547-8864,12/02/2023,00:00.0
S217127,08/12/2021,29/06/2022,2633.28,142960.33,1710.07,699.92,630,1,165,186060.95,126448,123110,NULL,154,509-547-8864,08/12/2021,00:00.0
S217121,07/12/2021,10/10/2022,881.58,19650.44,253.72,214.64,580,1,58.77,24675,16450,15740,NM,27,509-547-8864,07/12/2021,00:00.0
S216420,11/12/2021,13/09/2022,1441.67,70903.98,1063.53,345.97,520,1,113,78365.39,47365,44820,NH,85,509-547-8864,11/12/2021,00:00.0
S216414,01/12/2021,04/08/2022,3292.44,162224.52,8176,893.75,1150,2,105.11,186769.72,130444,126050,HF,192,509-547-8864,01/12/2021,00:00.0
S218187,11/12/2021,16/09/2022,1186.7,58947.97,803.75,788.81,700,1,145,82303.94,47840,45730,NS,70,509-547-8864,11/12/2021,00:00.0
S219514,14/12/2021,14/03/2023,5343.97,256340.79,4876.58,697.55,6850,7,7682.11,112598.04,68712,67270,HF,200,509-547-8864,14/12/2021,00:00.0
S229135,29/08/2022,07/10/2023,3227.49,157346.01,2347.54,913.78,1830,3,245.8,68237.93,44780,43360,X,110,509-547-8864,29/08/2022,00:00.0
S216404,22/11/2021,30/09/2022,2438.83,113155.07,1936.62,963.31,675,1,67.5,157955.97,94766,91130,NH,130,509-547-8864,22/11/2021,00:00.0
S216406,22/11/2021,01/07/2022,2353.98,94383.03,4890.17,861.21,1080,2,484.11,125795.36,84100,79370,HF,132,509-547-8864,22/11/2021,00:00.0
S229626,29/12/2022,28/11/2023,3667.04,248629.46,5508.56,1426.29,2650,4,1346.27,165980.44,84520,83160,NULL,219,509-547-8864,29/12/2022,NULL
S239146,08/01/2023,28/11/2023,2905.32,118869.91,2529.37,764.47,2310,4,495.92,60307.86,38377,37140,X,107,509-547-8864,08/01/2023,NULL
